id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Step ID
46030960,2100411,2017-01-21T07:08:48Z,7,9441,12731,161121_運用レスDL御礼＆SFSDLプッシュ.Thanks_運用レスDL者（特設）,24469,0
46070788,1020517,2017-01-22T07:43:52Z,7,7951,10900,"【セミナ】17/02/17 LMIS on cloudハンズオンセミナー.2.入力完了メール",14172,0
46100122,1012357,2017-01-22T23:31:50Z,7,1271,1287,21.【HP】LMIS体験版お申込.お客様へのメール,13944,0
46100356,1001569,2017-01-22T23:40:12Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100357,1018655,2017-01-22T23:40:13Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100358,1009780,2017-01-22T23:40:13Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100359,1752512,2017-01-22T23:40:13Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100360,1671693,2017-01-22T23:40:13Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100361,1770532,2017-01-22T23:40:14Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100362,1012287,2017-01-22T23:40:14Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46100363,1671862,2017-01-22T23:40:15Z,7,9620,13111,1701_ユーザ会シンポジウム集客.4.メール（内堀さん）,25739,0
46106758,1671820,2017-01-23T01:17:59Z,7,7952,10905,"【セミナ】17/03/13 LMIS on cloudハンズオンセミナー.2.入力完了メール",14174,0
46107019,1013318,2017-01-23T01:20:26Z,7,7952,10905,"【セミナ】17/03/13 LMIS on cloudハンズオンセミナー.2.入力完了メール",14174,0
46107611,27369,2017-01-23T01:30:09Z,7,8528,11625,IT部門からのビジネス貢献(マネジメント強化)_IT.3-2.情報収集,26107,0
46107631,1007958,2017-01-23T01:30:09Z,7,8440,11435,IT部門からのビジネス貢献(マネジメント強化)_IT.3-1.情報収集,26109,0
46107632,1026388,2017-01-23T01:30:10Z,7,8440,11435,IT部門からのビジネス貢献(マネジメント強化)_IT.3-1.情報収集,26109,0
46107638,1012543,2017-01-23T01:30:10Z,7,8666,11658,IT部門からのビジネス貢献(マネジメント強化)_IT.3-3.情報収集,26108,0
46107686,1007459,2017-01-23T01:30:10Z,7,8666,11658,IT部門からのビジネス貢献(マネジメント強化)_IT.3-3.情報収集,26108,0
46110014,1015679,2017-01-23T01:50:19Z,7,8373,11367,IT部門からのビジネス貢献(マネジメント強化)_IT.2-1.興味/関心,26114,0
46117240,2096387,2017-01-23T02:00:25Z,7,8050,11029,LMIS体験版スタートアップガイドメール.1.メール,26121,0
46117635,2008237,2017-01-23T02:00:16Z,7,8051,11030,LMIS体験版スタートアップガイドメール.2.メール,26120,0
46117636,2093064,2017-01-23T02:00:17Z,7,8051,11030,LMIS体験版スタートアップガイドメール.2.メール,26120,0
46118940,1014997,2017-01-23T02:15:13Z,7,9265,12688,【超無関心】IoT・ビッグデータ活用_エンゲージメント★.3-1.情報収集,26126,0
46119711,33820,2017-01-23T02:20:07Z,7,9239,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26131,0
46119712,1086639,2017-01-23T02:20:10Z,7,9239,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26131,0
46119741,13114,2017-01-23T02:20:09Z,7,9645,13123,【IS5】170123_日本ユニシス富安様.1．メール,26117,0
