id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Device,Is Mobile Device,Platform,Step ID,Subcategory
45999844,57685,2017-01-20T15:46:41Z,10,9587,13044,1701_有償教育案内.メール1,25214,0,FALSE,,unknown,34060
46023290,1010475,2017-01-20T21:26:09Z,10,7998,10850,"グローバル展開,M&AとBPMの関係性_BP.1-1.無関心",25329,0,FALSE,1,iOS,26878
46023934,2095417,2017-01-20T22:56:34Z,10,9442,12485,161121_運用レスDL御礼＆SFSDLプッシュ.Thanks_運用レスDL者（ITproactive）,24470,0,FALSE,1,iOS,33478
46025487,1671471,2017-01-21T01:38:07Z,10,9587,13044,1701_有償教育案内.メール1,25214,0,FALSE,1,iOS,34060
46026073,1265965,2017-01-21T02:37:09Z,10,8113,11103,レポート作成工数削減_WAMQ★.1-2.無関心,25709,0,FALSE,1,iOS,27400
46027663,9659,2017-01-21T04:36:30Z,10,8113,11103,レポート作成工数削減_WAMQ★.1-2.無関心,25709,0,FALSE,,unknown,27400
46027664,9659,2017-01-21T04:36:48Z,10,8128,11107,レポート作成工数削減_WAMQ★.1-1.無関心,25327,0,FALSE,,unknown,27433
46029238,1022019,2017-01-21T06:06:32Z,10,9613,12724,細かいオペレーションの自動化_GO.1-3.無関心,25830,0,FALSE,,unknown,34144
46030875,1022578,2017-01-21T07:03:24Z,10,9033,12283,IoT・ビッグデータ活用_WAAP★.1-1.無関心,25342,0,FALSE,1,iOS,31837
46031493,27338,2017-01-21T07:46:55Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,Win7,31947
46032565,2100411,2017-01-21T09:07:25Z,10,9441,12731,161121_運用レスDL御礼＆SFSDLプッシュ.Thanks_運用レスDL者（特設）,24469,0,FALSE,1,Android,33475
46032787,24114,2017-01-21T09:16:40Z,10,8113,11103,レポート作成工数削減_WAMQ★.1-2.無関心,25709,0,FALSE,,unknown,27400
46032850,24114,2017-01-21T09:21:58Z,10,8128,11107,レポート作成工数削減_WAMQ★.1-1.無関心,25327,0,FALSE,,unknown,27433
46036062,620,2017-01-21T12:06:20Z,10,8372,11355,IT部門からのビジネス貢献(マネジメント強化)_IT.1-3.無関心,25296,0,FALSE,,unknown,28236
46037568,2095365,2017-01-21T13:37:48Z,10,9442,12485,161121_運用レスDL御礼＆SFSDLプッシュ.Thanks_運用レスDL者（ITproactive）,24470,0,FALSE,,unknown,33478
46062805,40188,2017-01-22T01:30:35Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,1,iOS,31947
46063218,1014122,2017-01-22T02:05:23Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,1,Android,31947
46063830,1795548,2017-01-22T02:54:52Z,10,9587,13044,1701_有償教育案内.メール1,25214,0,FALSE,,Win8,34060
46063883,1795548,2017-01-22T03:00:52Z,10,8128,11107,レポート作成工数削減_WAMQ★.1-1.無関心,25327,0,FALSE,,Win8,27433
46065209,13959,2017-01-22T04:50:32Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46065685,11743,2017-01-22T05:31:28Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,1,iOS,31947
46066480,1006521,2017-01-22T06:22:09Z,10,9613,12724,細かいオペレーションの自動化_GO.1-3.無関心,25830,0,FALSE,,Win7,34144
46069245,21978,2017-01-22T06:35:22Z,10,8113,11103,レポート作成工数削減_WAMQ★.1-2.無関心,25709,0,FALSE,,Win8,27400
46069921,7365,2017-01-22T07:13:26Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46073223,19862,2017-01-22T10:18:21Z,10,8128,11107,レポート作成工数削減_WAMQ★.1-1.無関心,25327,0,FALSE,,unknown,27433
46073442,19862,2017-01-22T10:39:52Z,10,8113,11103,レポート作成工数削減_WAMQ★.1-2.無関心,25709,0,FALSE,,unknown,27400
46099681,33900,2017-01-22T23:15:22Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46100038,53508,2017-01-22T23:30:04Z,10,7999,10946,"グローバル展開,M&AとBPMの関係性_BP.1-2.無関心",25706,0,FALSE,,Win7,26880
46100151,38051,2017-01-22T23:32:05Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46100366,31789,2017-01-22T23:40:01Z,10,7999,10946,"グローバル展開,M&AとBPMの関係性_BP.1-2.無関心",25706,0,FALSE,,Win7,26880
46100677,1023429,2017-01-22T23:49:52Z,10,7999,10946,"グローバル展開,M&AとBPMの関係性_BP.1-2.無関心",25706,0,FALSE,,unknown,26880
46102005,1008691,2017-01-23T00:18:23Z,10,9222,12571,【事業部系向け】超無関心エンゲージメント.マガジン_11月号,0,PC,FALSE,Win7,32588,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; 37d5cfc3b1b524b3; rv:11.0) like Gecko"
46102006,46675,2017-01-23T00:19:58Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46103959,1001861,2017-01-23T00:40:17Z,10,9613,12724,細かいオペレーションの自動化_GO.1-3.無関心,25830,0,FALSE,,Win8.1,34144
46104286,8405,2017-01-23T00:46:32Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46106978,47136,2017-01-23T01:20:11Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,Win7,31947
46107693,42397,2017-01-23T01:30:13Z,10,9056,12314,IoT・ビッグデータ活用_WAAP★.1-2.無関心,25721,0,FALSE,,unknown,31947
46107940,1012543,2017-01-23T01:32:34Z,10,8666,11658,IT部門からのビジネス貢献(マネジメント強化)_IT.3-3.情報収集,26108,0,FALSE,,Win7,30537
46117838,715,2017-01-23T02:03:25Z,10,5387,5845,【G2】160412_BP_建設業向け.1.メール,0,"Windows Desktop",FALSE,Win7,16748,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
46120014,33820,2017-01-23T02:25:12Z,10,9239,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26131,0,FALSE,,unknown,32637
46120984,22399,2017-01-23T02:30:28Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,WinNT,32635
46121163,1023387,2017-01-23T02:30:18Z,10,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0,FALSE,,unknown,27472
46121166,1710325,2017-01-23T02:30:34Z,10,8140,11137,"グローバル展開,M&AとBPMの関係性_BP.2-1.認知興味関心",26138,0,FALSE,,unknown,27472
46121709,1010789,2017-01-23T02:33:31Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,unknown,32635
46121710,30859,2017-01-23T02:33:36Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,unknown,32635
46122886,57934,2017-01-23T02:40:22Z,10,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0,FALSE,,Win7,27406
46123075,12691,2017-01-23T02:40:26Z,10,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0,FALSE,,unknown,27406
46123076,1671945,2017-01-23T02:41:56Z,10,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0,FALSE,,unknown,27406
46123216,1006769,2017-01-23T02:42:54Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,unknown,32635
46123217,13108,2017-01-23T02:43:04Z,10,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0,FALSE,,unknown,27406
46123335,34680,2017-01-23T02:44:29Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,unknown,32635
46145868,22040,2017-01-23T02:45:17Z,10,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0,FALSE,,unknown,27406
46145870,43201,2017-01-23T02:45:57Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46145871,8031,2017-01-23T02:46:04Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46145872,28553,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46145873,1018037,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46145874,14304,2017-01-23T02:46:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146189,26704,2017-01-23T02:45:16Z,10,9238,12584,IoT・ビッグデータ活用_WAAP★.2-2.認知,26145,0,FALSE,,Win7,32635
46146191,51343,2017-01-23T02:45:58Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146193,11148,2017-01-23T02:46:01Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146194,20377,2017-01-23T02:46:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146195,1009230,2017-01-23T02:46:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146196,54860,2017-01-23T02:46:04Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146197,12244,2017-01-23T02:46:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146198,20840,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146199,1020146,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146200,1556904,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146201,38749,2017-01-23T02:46:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146202,51102,2017-01-23T02:46:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146203,768,2017-01-23T02:46:18Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46146204,15763,2017-01-23T02:46:19Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146205,15449,2017-01-23T02:46:33Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46146206,51327,2017-01-23T02:46:34Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46146207,24367,2017-01-23T02:46:38Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146210,50935,2017-01-23T02:46:00Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146211,19441,2017-01-23T02:46:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146212,1008391,2017-01-23T02:46:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146213,9534,2017-01-23T02:46:03Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146214,12806,2017-01-23T02:46:03Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146215,7393,2017-01-23T02:46:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146216,1700656,2017-01-23T02:46:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146217,14075,2017-01-23T02:46:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146218,1556897,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146219,37268,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146220,30006,2017-01-23T02:46:12Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146221,18271,2017-01-23T02:46:12Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146222,31797,2017-01-23T02:46:23Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146223,40691,2017-01-23T02:46:25Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146224,21526,2017-01-23T02:46:26Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46146225,16969,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146226,1671902,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146227,1003015,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146228,37199,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146229,38650,2017-01-23T02:46:29Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146230,810,2017-01-23T02:46:39Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146231,23602,2017-01-23T02:46:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146232,1618236,2017-01-23T02:46:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146233,51644,2017-01-23T02:46:46Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146234,19213,2017-01-23T02:46:51Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
