id,leadId,activityDate,activityTypeId,primaryAttributeValueId,primaryAttributeValue,ClientIPAddress,QueryParameters,ReferrerURL,UserAgent,WebpageURL,campaignId,campaignId_UserAgent,campaignId_WebpageURL
45772704,1015676,2017-01-19T02:21:47Z,1,8,www.unirita.co.jp/,106.186.212.178,,https://www.google.co.jp/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/,,,
45772726,1015676,2017-01-19T02:21:50Z,1,25,www.unirita.co.jp/seminar/,106.186.212.178,,http://www.unirita.co.jp/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/seminar/,,,
45772792,1015676,2017-01-19T02:22:02Z,1,116,www.unirita.co.jp/advantage.html,106.186.212.178,,http://www.unirita.co.jp/seminar/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/advantage.html,,,
45772794,1015676,2017-01-19T02:22:07Z,1,15,www.unirita.co.jp/corporate/,106.186.212.178,,http://www.unirita.co.jp/advantage.html,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/corporate/,,,
45772825,1015676,2017-01-19T02:22:12Z,1,172,www.unirita.co.jp/recruit/shinsotsu/,106.186.212.178,,http://www.unirita.co.jp/corporate/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/recruit/shinsotsu/,,,
45772848,1015676,2017-01-19T02:22:20Z,1,123,www.unirita.co.jp/case/,106.186.212.178,,http://www.unirita.co.jp/recruit/shinsotsu/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/case/,,,
45772888,1015676,2017-01-19T02:22:36Z,1,116,www.unirita.co.jp/advantage.html,106.186.212.178,,http://www.unirita.co.jp/case/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/advantage.html,,,
45852330,1846034,2017-01-19T04:14:20Z,1,211,www.unirita.co.jp/products/waha/scene.html,118.103.91.10,,http://search.yahoo.co.jp/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/products/waha/scene.html,,,
45852342,1846034,2017-01-19T04:14:32Z,1,623,www.unirita.co.jp/products/waha/trialdowload.html,118.103.91.10,,http://www.unirita.co.jp/products/waha/scene.html,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/products/waha/trialdowload.html,,,
45852397,1846034,2017-01-19T04:14:39Z,1,5946,Wahatrial_input,118.103.91.10,,http://www.unirita.co.jp/products/waha/trialdowload.html,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/Wahatrial_input.html,,,
45856405,1846034,2017-01-19T04:55:40Z,1,25599,www.unirita.co.jp/blog/data-utilization/data-linkage/20150714.html,118.103.91.10,,http://search.yahoo.co.jp/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/blog/data-utilization/data-linkage/20150714.html,,,
